address,direction,street,crossStreet,intersection,Location 1,2010 Census Neighborhoods,2010 Census Wards Precincts,Zip Codes
REISTERSTOWN RD & PATTERSON AVE,E/B,"Reistertown 
",Patterson Ave,"Reistertown 
  & Patterson Ave","(39.356182, -76.702521)",89,60,27295
W FRANKLIN ST & CATHEDRAL ST,W/B,"Franklin 
",Cathedral,"Franklin 
 & Cathedral","(39.295066, -76.616872)",165,6,13642
SINCLAIR LN & MORAVIA RD,W/B,Sinclair,Moravia Road,Sinclair  & Moravia Road,"(39.322036, -76.548453)",46,207,13991
HARFORD RD & ROSALIE AVE,N/B,"Harford
",Rosalie Ave,"Harford
  & Rosalie Ave","(39.368065, -76.547818)",174,266,27957
ORLEANS ST & N GAY ST,E/B,Orleans,Gay St,Orleans  & Gay St,"(39.29472, -76.606128)",179,108,13645
SINCLAIR LN & SHANNON DR,E/B,"Sinclair
",Shannon Drive,"Sinclair
  & Shannon Drive","(39.317503, -76.555674)",139,150,26956
WABASH AVE & W BELVEDERE AVE,E/B,"Wabash 
",Belvedere Ave,"Wabash 
 & Belvedere Ave","(39.341671, -76.685043)",252,63,27295
HARFORD RD & CHRISTOPHER AVE,N/B,"Harford 
",Christopher Ave,"Harford 
 & Christopher Ave","(39.358333, -76.556247)",256,261,27291
S HANOVER & REEDBIRD AVE,N/B,"Hanover 
",Reedbird Ave,"Hanover 
 & Reedbird Ave","(39.24988, -76.613749)",143,146,27937
S CATON AVE & BENSON AVE,S/B,Caton Ave,Benson Ave,Caton Ave & Benson Ave,"(39.269316, -76.66897)",268,166,27944
E COLD SPRING LN & HILLEN RD,W/B,Cold Spring,Hillen Road,Cold Spring  & Hillen Road,"(39.345907, -76.585927)",161,222,28570
RUSSELL ST & W HAMBURG ST,N/B,"Russell 
",Hamburg St,"Russell 
 & Hamburg St","(39.279786, -76.623754)",228,1,27953
EASTERN AVE & KANE ST,E/B,Eastern,Kane St,Eastern  & Kane St,"(39.287763, -76.537102)",126,135,27935
E 33RD ST & THE ALAMEDA,E/B,E 33rd,The Alameda,E 33rd  & The Alameda,"(39.328341, -76.595359)",77,180,27307
W NORTH AVE & N HOWARD ST,W/B,North Ave,Howard St,North Ave  & Howard St,"(39.311087, -76.619307)",44,160,27307
REISTERSTOWN RD & DRUID PARK DR,S/B,"Reistertown Rd
",Druid Lake Drive,"Reistertown Rd
  & Druid Lake Drive","(39.325287, -76.657711)",187,40,27295
GWYNNS FLS & GARRISON BLVD,E/B,"Gwynns Falls 
",Garrison Blvd,"Gwynns Falls 
  & Garrison Blvd","(39.313579, -76.676225)",164,45,27297
THE ALAMEDA & E 33RD ST,S/B,The Alameda,33rd St,The Alameda  & 33rd St,"(39.328501, -76.595355)",77,186,27307
E MADISON ST & N CAROLINE ST,W/B,Madison,Caroline St,Madison  & Caroline St,"(39.299326, -76.597676)",88,127,13987
W NORTHERN PKWY & GREENSPRING AVE,E/B,Northern Pkwy,Greenspring Ave,Northern Pkwy   & Greenspring Ave,"(39.355024, -76.660459)",42,251,27295
ERDMAN AVE & N MACON ST,E/B,Erdman,Macon St,Erdman  & Macon St,"(39.306805, -76.559317)",6,145,13987
WILKENS AVE & DESOTO RD,E/B,Wilkens,DeSoto,Wilkens  & DeSoto,"(39.274904, -76.668163)",100,164,27632
W NORTHERN PKWY & FALLS RD,W/B,Northern Pkwy,Falls Road,Northern Pkwy  & Falls Road,"(39.361413, -76.64622)",214,254,14004
REISTERSTOWN RD & MENLO DR,N/B,"Reisterstown 
",Menlo Drive,"Reisterstown 
 & Menlo Drive","(39.351985, -76.696376)",89,246,27295
PERRING PKWY & E BELVEDERE AVE,S/B,"Perring Pkwy
",Belvedere Ave,"Perring Pkwy
  & Belvedere Ave","(39.354963, -76.575726)",64,224,28564
WILKENS AVE & PINE HEIGHTS AVE,E/B,Wilkens Ave,Pine Heights,Wilkens Ave & Pine Heights,"(39.272025, -76.676961)",220,166,27950
N MONROE ST & W LAFAYETTE AVE,S/B,"Monroe
",Lafayette,"Monroe
 & Lafayette","(39.298743, -76.647517)",153,88,27301
HARFORD RD & THE ALAMEDA,N/B,"Harford 
",The Alameda,"Harford 
 & The Alameda","(39.321207, -76.590771)",54,189,27307
S CATON AVE & BENSON AVE,N/B,Caton Ave,Benson Ave,Caton Ave & Benson Ave,"(39.269378, -76.668819)",268,166,27632
